,experiment,human_role,map,pid,game_time,is_time_success,user number of utterances,user mean utterance length,user total number of tokens,user number of eng utterances,user number of es utterances,user number of mix utterances,user number of none utterances,user number of inter-sentential cs,user number of utterances with some ins switch,user number of total ins switches,user number of cong_masc switches,user number of cong_fem switches,user number of incong_masc switches,user number of incong_fem switches,user number of NP switches,user number of amb_masc switches,user number of amb_fem switches,user number of masc det switches,user number of fem det switches,user % entrainment - all dialog,user % entrainment - on bot inter-sentential cs,user number of cong_masc aligned to bot,user number of cong_fem aligned to bot,user number of incong_masc aligned to bot,user number of incong_fem aligned to bot,user number of NP aligned to bot,user number of amb_masc aligned to bot,user number of amb_fem aligned to bot,user number of cong_masc immediate aligned to bot,user number of cong_fem immediate aligned to bot,user number of incong_masc immediate aligned to bot,user number of incong_fem immediate aligned to bot,user number of NP immediate aligned to bot,user number of amb_masc immediate aligned to bot,user number of amb_fem immediate aligned to bot,bot number of utterances,bot mean utterance length,bot total number of tokens,bot number of eng utterances,bot number of es utterances,bot number of mix utterances,bot number of none utterances,bot number of inter-sentential cs,bot number of utterances with some ins switch,bot number of total ins switches,bot number of cong_masc switches,bot number of cong_fem switches,bot number of incong_masc switches,bot number of incong_fem switches,bot number of NP switches,bot number of amb_masc switches,bot number of amb_fem switches,bot number of masc det switches,bot number of fem det switches,How much did you enjoy the task?,How difficult was it to communicate with your partner?,How successful do you think you were at completing the task?,How difficult was it to understand your partner's instructions?,How likely is your partner to be a fluent speaker of English?,How likely is your partner to be a fluent speaker of Spanish?,How likely do you think it is that your partner is bilingual?,Please rate your partner according to the following attributes: friendly,Please rate your partner according to the following attributes: smart,Please rate your partner according to the following attributes: collaborative,Please rate your partner according to the following attributes: honest,Please rate your partner according to the following attributes: funny,How likely do you think it was that you were talking to a chatbot rather than a human?,"If you were communicating with a chat bot, would you want them to communicate in both English and Spanish?",Age:,Gender:,"Place of birth (state, country):","Place of current residence (approximate city, state, country):",Highest level of education received:,Native language(s):,Do you speak any other languages?,What languages are currently spoken in your home?,"Have you spent extended time (e.g., more than 6 months) living in another country?","Enter your native language, or the language you are providing answers for, here:","How would you rate your fluency in your native language, for each of these categories: Reading","How would you rate your fluency in your native language, for each of these categories: Writing","How would you rate your fluency in your native language, for each of these categories: Speaking","How would you rate your fluency in your native language, for each of these categories: Listening",Please rate how likely you are to use your native language in the following contexts: At work,Please rate how likely you are to use your native language in the following contexts: At home,Please rate how likely you are to use your native language in the following contexts: Interacting with friends,Please rate how likely you are to use your native language in the following contexts: Interacting with family,"Please rate how likely you are to use your native language in the following contexts: Entertainment (TV series, music, etc.)",Enter your most proficient second language here:,"How would you rate your fluency in your second language, for each of these categories: Reading","How would you rate your fluency in your second language, for each of these categories: Writing","How would you rate your fluency in your second language, for each of these categories: Speaking","How would you rate your fluency in your second language, for each of these categories: Listening",Approximately what age did you begin learning your second language?,Please rate how likely you are to use your second language in the following contexts: At work,Please rate how likely you are to use your second language in the following contexts: At home,Please rate how likely you are to use your second language in the following contexts: Interacting with friends,Please rate how likely you are to use your second language in the following contexts: Interacting with family,"Please rate how likely you are to use your second language in the following contexts: Entertainment (TV series, music, etc.)","Have you ever lived in a home environment or country where your second language was spoken? If so, please explain briefly:","Do you speak any additional languages? If so, please describe briefly here.","On a day-to-day basis, how likely are you to have a conversation using both English and Spanish?",How likely would you be to mix languages in the following contexts? At work,How likely would you be to mix languages in the following contexts? At home,How likely would you be to mix languages in the following contexts? Interacting with friends,How likely would you be to mix languages in the following contexts? Interacting with family,How likely would you be to mix languages in the following contexts? Using social media,"When you switch languages, how often is it for the following reasons? To accommodate people who don't share the same language or language fluency.","When you switch languages, how often is it for the following reasons? For social reasons; one language feels more appropriate.","When you switch languages, how often is it for the following reasons? I can't think of a word in the current language.","When you switch languages, how often is it for the following reasons? The word in the other language just fits better.","When you switch languages, how often is it for the following reasons? It's an accident, or I don't realize I'm doing it.","When you switch languages, how often is it for the following reasons? I'm more comfortable discussing the topic in the other language.",Do you enjoy mixing languages in conversation?,"When you hear others mixing languages in conversation, how do you feel about it?",How natural was your conversational partner’s language switching?,Any final comments about your partner’s language switching?,Any final comments about your language background?,dist_score,Place of birth:,Place of current residence:,Please rate how likely you are to use your first language in the following contexts: At work,Please rate how likely you are to use your first language in the following contexts: At home,Please rate how likely you are to use your first language in the following contexts: Interacting with friends,Please rate how likely you are to use your first language in the following contexts: Interacting with family,"Please rate how likely you are to use your first language in the following contexts: Entertainment (TV series, music, etc.)","On a day-to-day basis, how likely are you to have a conversation using both your first and second languages?",What do you think when others mix languages in conversation? Please explain:
0,Insertional Spanish Masculine InCongruent,instructor,0,55b00063fdf99b5c0061941f,420,0,9,10.333333333333334,93,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7.375,118,0,13,3,0,0,3,3,0,0,3,0,0,0,0,0,3,83,71,26,66,33,50,50,100,83,100,100,15,100,0,34,male,"Florida, United States","Miami, Florida, United States",some college,"English, Spanish",N/A,English,No.,English,100,100,100,100,100,100,100,100,100,Spanish,77,70,59,75,0,23,35,9,84,7,"Not in another country, but people here in Miami tend to speak Spanish. But they can readily speak English if needed.",N/A,16,10,0,0,80,0,81,0,0,0,0,0,0,12,54,I found it a little jarring.,"I don't like switching language mid-conversation. I can handle it if someone else does it to me, but I try to avoid doing it to others; I tend to stick to one language and I'm more fluent in English than in Spanish.",,,,,,,,,,
1,Insertional Spanish Masculine InCongruent,navigator,1,55b00063fdf99b5c0061941f,420,0,11,2.5454545454545454,28,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14.61111111111111,263,0,12,6,0,0,5,5,0,0,5,0,0,0,0,0,5,83,71,26,66,33,50,50,100,83,100,100,15,100,0,34,male,"Florida, United States","Miami, Florida, United States",some college,"English, Spanish",N/A,English,No.,English,100,100,100,100,100,100,100,100,100,Spanish,77,70,59,75,0,23,35,9,84,7,"Not in another country, but people here in Miami tend to speak Spanish. But they can readily speak English if needed.",N/A,16,10,0,0,80,0,81,0,0,0,0,0,0,12,54,I found it a little jarring.,"I don't like switching language mid-conversation. I can handle it if someone else does it to me, but I try to avoid doing it to others; I tend to stick to one language and I'm more fluent in English than in Spanish.",4.753623188405797,,,,,,,,,
2,Insertional Spanish Masculine InCongruent,instructor,2,55b00063fdf99b5c0061941f,240,1,4,12.0,48,0,2,2,0,0,2,2,1,1,0,0,0,0,0,1,1,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6.888888888888889,62,0,7,2,0,0,2,2,0,0,2,0,0,0,0,0,2,83,71,26,66,33,50,50,100,83,100,100,15,100,0,34,male,"Florida, United States","Miami, Florida, United States",some college,"English, Spanish",N/A,English,No.,English,100,100,100,100,100,100,100,100,100,Spanish,77,70,59,75,0,23,35,9,84,7,"Not in another country, but people here in Miami tend to speak Spanish. But they can readily speak English if needed.",N/A,16,10,0,0,80,0,81,0,0,0,0,0,0,12,54,I found it a little jarring.,"I don't like switching language mid-conversation. I can handle it if someone else does it to me, but I try to avoid doing it to others; I tend to stick to one language and I'm more fluent in English than in Spanish.",,,,,,,,,,
3,Insertional Spanish Masculine InCongruent,navigator,3,55b00063fdf99b5c0061941f,325,1,10,3.4,34,0,8,2,0,0,1,1,1,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,12.8125,205,0,11,5,0,0,3,3,0,0,3,0,0,0,0,0,3,83,71,26,66,33,50,50,100,83,100,100,15,100,0,34,male,"Florida, United States","Miami, Florida, United States",some college,"English, Spanish",N/A,English,No.,English,100,100,100,100,100,100,100,100,100,Spanish,77,70,59,75,0,23,35,9,84,7,"Not in another country, but people here in Miami tend to speak Spanish. But they can readily speak English if needed.",N/A,16,10,0,0,80,0,81,0,0,0,0,0,0,12,54,I found it a little jarring.,"I don't like switching language mid-conversation. I can handle it if someone else does it to me, but I try to avoid doing it to others; I tend to stick to one language and I'm more fluent in English than in Spanish.",1.5066666666666666,,,,,,,,,
4,Alternation Alignment CS,instructor,0,56253d70ed6e5a0011c81a42,286,1,7,10.0,70,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9.857142857142858,138,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,91,27,65,22,71,50,50,88,74,87,83,57,82,66,55,female,"Tennessee, USA","Tennessee, USA",MA,English,"Spanish, French. Italian",English,"yes, Spain in the mid-1990s",english,97,94,95,98,97,97,95,97,70,spanish,80,70,66,58,14,62,44,24,0,63,"yes, spain",some French and Italian. Understand some German and Portuguese,40,8,1,7,1,62,71,57,59,64,84,69,63,82,92,i understood and appreciated it,i wish i had more opportunity to speak the other languages,,,,,,,,,,
5,Alternation Alignment CS,navigator,1,56253d70ed6e5a0011c81a42,420,0,5,10.0,50,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13.727272727272727,151,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,27,65,22,71,50,50,88,74,87,83,57,82,66,55,female,"Tennessee, USA","Tennessee, USA",MA,English,"Spanish, French. Italian",English,"yes, Spain in the mid-1990s",english,97,94,95,98,97,97,95,97,70,spanish,80,70,66,58,14,62,44,24,0,63,"yes, spain",some French and Italian. Understand some German and Portuguese,40,8,1,7,1,62,71,57,59,64,84,69,63,82,92,i understood and appreciated it,i wish i had more opportunity to speak the other languages,8.115942028985508,,,,,,,,,
6,Alternation Alignment CS,instructor,2,56253d70ed6e5a0011c81a42,140,1,4,13.5,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.0,81,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,27,65,22,71,50,50,88,74,87,83,57,82,66,55,female,"Tennessee, USA","Tennessee, USA",MA,English,"Spanish, French. Italian",English,"yes, Spain in the mid-1990s",english,97,94,95,98,97,97,95,97,70,spanish,80,70,66,58,14,62,44,24,0,63,"yes, spain",some French and Italian. Understand some German and Portuguese,40,8,1,7,1,62,71,57,59,64,84,69,63,82,92,i understood and appreciated it,i wish i had more opportunity to speak the other languages,,,,,,,,,,
7,Alternation Alignment CS,navigator,3,56253d70ed6e5a0011c81a42,319,1,10,1.8,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14.722222222222221,265,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,27,65,22,71,50,50,88,74,87,83,57,82,66,55,female,"Tennessee, USA","Tennessee, USA",MA,English,"Spanish, French. Italian",English,"yes, Spain in the mid-1990s",english,97,94,95,98,97,97,95,97,70,spanish,80,70,66,58,14,62,44,24,0,63,"yes, spain",some French and Italian. Understand some German and Portuguese,40,8,1,7,1,62,71,57,59,64,84,69,63,82,92,i understood and appreciated it,i wish i had more opportunity to speak the other languages,1.9733333333333334,,,,,,,,,
8,Alternation Alignment CS,instructor,0,56fa002e8425ef000b3a4276,420,0,8,21.5,172,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11.117647058823529,189,14,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,53,50,50,100,100,100,100,53,49,51,35,male,,,college,English,Spanish,English/Spanish,No,,100,100,99,98,,,,,,Spanish,100,99,99,96,1,88,95,91,98,53,n/a,,,87,100,82,97,0,97,97,0,91,6,100,100,,,,N/A,,Texas,Texas,97,97,98,98,100,100,The context of the conversation. Sometimes Spanish words just sound better in conversation.
9,Alternation Alignment CS,navigator,1,56fa002e8425ef000b3a4276,420,0,10,8.3,83,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13.2,264,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,2,97,44,50,50,100,86,72,94,58,50,51,35,male,,,college,English,Spanish,English/Spanish,No,,100,100,99,98,,,,,,Spanish,100,99,99,96,1,88,95,91,98,53,n/a,,,87,100,82,97,0,97,97,0,91,6,100,100,,,,N/A,13.304347826086957,Texas,Texas,97,97,98,98,100,100,The context of the conversation. Sometimes Spanish words just sound better in conversation.
